# Per-point comparison over the 0.05-0.35 % strain window.
# PPD_UTM_strain_pct is RAW: no smoothing anywhere in the post-processor, and the
#   source column is exactly (L_px - Px0)/Px0.
# XT205_strain_pct is the XT-205's own output, interpolated onto our sample
#   times. Whatever it does internally before writing strain.csv is not
#   knowable from the file.
# offset_ue = ours - theirs;  offset_pct = ours/theirs - 1
Time_s,PPD_UTM_strain_pct,XT205_strain_pct,offset_ue,offset_pct
15.7995,0.050478,0.050172,3.06,0.6109
15.8495,0.053356,0.054129,-7.73,-1.4272
15.8995,0.057101,0.057973,-8.72,-1.5038
15.9495,0.061982,0.061439,5.43,0.8838
15.9995,0.064419,0.065452,-10.33,-1.5775
16.0494,0.068358,0.068971,-6.13,-0.8894
16.0994,0.073026,0.073100,-0.74,-0.1016
16.1495,0.076597,0.076722,-1.25,-0.1632
16.1995,0.080723,0.081136,-4.13,-0.5088
16.2495,0.084599,0.084803,-2.04,-0.2408
16.2995,0.087582,0.088323,-7.41,-0.8389
16.3494,0.090521,0.092078,-15.57,-1.6905
16.3994,0.096253,0.096327,-0.74,-0.0773
16.4494,0.099362,0.099948,-5.86,-0.5861
16.4994,0.103671,0.103459,2.12,0.2050
16.5494,0.106785,0.107400,-6.15,-0.5723
16.5994,0.109936,0.110910,-9.74,-0.8781
16.6494,0.113995,0.115023,-10.28,-0.8934
16.6994,0.118611,0.118884,-2.73,-0.2294
16.7493,0.121597,0.122624,-10.27,-0.8372
16.7993,0.125260,0.126531,-12.71,-1.0047
16.8495,0.129416,0.130263,-8.47,-0.6501
16.8995,0.133361,0.133824,-4.63,-0.3463
16.9495,0.138015,0.139302,-12.87,-0.9239
16.9995,0.141353,0.141746,-3.93,-0.2772
17.0495,0.144380,0.145096,-7.16,-0.4937
17.0995,0.148682,0.148094,5.88,0.3970
17.1494,0.152315,0.152968,-6.53,-0.4270
17.1994,0.156362,0.155666,6.96,0.4471
17.2494,0.159944,0.146867,130.77,8.9038
17.2994,0.163540,0.163424,1.16,0.0712
17.3494,0.169107,0.166983,21.24,1.2718
17.3994,0.172143,0.158110,140.33,8.8753
17.4494,0.176238,0.175142,10.96,0.6259
17.4994,0.177815,0.178367,-5.52,-0.3097
17.5498,0.182403,0.182046,3.57,0.1959
17.5998,0.186402,0.185865,5.37,0.2891
17.6510,0.190621,0.189577,10.44,0.5507
17.7010,0.193866,0.193623,2.43,0.1255
17.7508,0.198428,0.197074,13.54,0.6870
17.8008,0.201192,0.200796,3.96,0.1972
17.8508,0.205370,0.204814,5.56,0.2715
17.9016,0.208943,0.208810,1.33,0.0639
17.9516,0.212419,0.212337,0.82,0.0387
18.0014,0.216110,0.216145,-0.35,-0.0162
18.0514,0.220061,0.219815,2.46,0.1119
18.1011,0.223617,0.223827,-2.10,-0.0939
18.1511,0.227680,0.227422,2.58,0.1133
18.2009,0.231972,0.231763,2.09,0.0901
18.2509,0.236183,0.235109,10.74,0.4567
18.3019,0.239992,0.239064,9.28,0.3881
18.3519,0.243896,0.242940,9.56,0.3934
18.4016,0.246175,0.246243,-0.68,-0.0278
18.4516,0.250613,0.250301,3.12,0.1245
18.5017,0.254635,0.254133,5.02,0.1975
18.5520,0.259094,0.258082,10.12,0.3919
18.6020,0.263068,0.262354,7.14,0.2720
18.6517,0.266878,0.265916,9.62,0.3619
18.7017,0.270144,0.269416,7.28,0.2702
18.7514,0.273693,0.273490,2.03,0.0743
18.8014,0.277964,0.277277,6.87,0.2479
18.8512,0.281412,0.280587,8.25,0.2941
18.9012,0.285695,0.284577,11.18,0.3929
18.9524,0.289788,0.288773,10.15,0.3516
19.0024,0.292907,0.292741,1.66,0.0566
19.0521,0.296733,0.296235,4.98,0.1682
19.1021,0.300894,0.299889,10.05,0.3351
19.1521,0.305069,0.303878,11.91,0.3919
19.2021,0.308433,0.307590,8.43,0.2740
19.2521,0.311744,0.311343,4.01,0.1287
19.3018,0.316024,0.315475,5.49,0.1739
19.3518,0.319171,0.319188,-0.17,-0.0054
19.4015,0.323432,0.322714,7.18,0.2226
19.4515,0.328263,0.301997,262.66,8.6976
19.5012,0.331054,0.321028,100.26,3.1230
19.5512,0.335447,0.340827,-53.80,-1.5786
19.6010,0.339015,0.318626,203.89,6.3992
19.6510,0.342855,0.337071,57.84,1.7159
19.7008,0.347335,0.335481,118.54,3.5333
19.7508,0.350206,0.333457,167.49,5.0228
19.8006,0.354189,0.338309,158.80,4.6940
19.8506,0.356977,0.344116,128.61,3.7373
19.9005,0.362107,0.349919,121.88,3.4830
